0.83,0.83,0.83
0.83,0.83,0.68
0.83,0.83,0.63
0.83,0.83,0.71
0.83,0.83,0.61
0.83,0.83,0.65
0.83,0.68,0.83
0.83,0.68,0.68
0.83,0.68,0.63
0.83,0.68,0.71
0.83,0.68,0.61
0.83,0.68,0.65
0.83,0.63,0.83
0.83,0.63,0.68
0.83,0.63,0.63
0.83,0.63,0.71
0.83,0.63,0.61
0.83,0.63,0.65
0.83,0.71,0.83
0.83,0.71,0.68
0.83,0.71,0.63
0.83,0.71,0.71
0.83,0.71,0.61
0.83,0.71,0.65
0.83,0.61,0.83
0.83,0.61,0.68
0.83,0.61,0.63
0.83,0.61,0.71
0.83,0.61,0.61
0.83,0.61,0.65
0.83,0.65,0.83
0.83,0.65,0.68
0.83,0.65,0.63
0.83,0.65,0.71
0.83,0.65,0.61
0.83,0.65,0.65
0.68,0.83,0.83
0.68,0.83,0.68
0.68,0.83,0.63
0.68,0.83,0.71
0.68,0.83,0.61
0.68,0.83,0.65
0.68,0.68,0.83
0.68,0.68,0.68
0.68,0.68,0.63
0.68,0.68,0.71
0.68,0.68,0.61
0.68,0.68,0.65
0.68,0.63,0.83
0.68,0.63,0.68
0.68,0.63,0.63
0.68,0.63,0.71
0.68,0.63,0.61
0.68,0.63,0.65
0.68,0.71,0.83
0.68,0.71,0.68
0.68,0.71,0.63
0.68,0.71,0.71
0.68,0.71,0.61
0.68,0.71,0.65
0.68,0.61,0.83
0.68,0.61,0.68
0.68,0.61,0.63
0.68,0.61,0.71
0.68,0.61,0.61
0.68,0.61,0.65
0.68,0.65,0.83
0.68,0.65,0.68
0.68,0.65,0.63
0.68,0.65,0.71
0.68,0.65,0.61
0.68,0.65,0.65
0.63,0.83,0.83
0.63,0.83,0.68
0.63,0.83,0.63
0.63,0.83,0.71
0.63,0.83,0.61
0.63,0.83,0.65
0.63,0.68,0.83
0.63,0.68,0.68
0.63,0.68,0.63
0.63,0.68,0.71
0.63,0.68,0.61
0.63,0.68,0.65
0.63,0.63,0.83
0.63,0.63,0.68
0.63,0.63,0.63
0.63,0.63,0.71
0.63,0.63,0.61
0.63,0.63,0.65
0.63,0.71,0.83
0.63,0.71,0.68
0.63,0.71,0.63
0.63,0.71,0.71
0.63,0.71,0.61
0.63,0.71,0.65
0.63,0.61,0.83
0.63,0.61,0.68
0.63,0.61,0.63
0.63,0.61,0.71
0.63,0.61,0.61
0.63,0.61,0.65
0.63,0.65,0.83
0.63,0.65,0.68
0.63,0.65,0.63
0.63,0.65,0.71
0.63,0.65,0.61
0.63,0.65,0.65
0.71,0.83,0.83
0.71,0.83,0.68
0.71,0.83,0.63
0.71,0.83,0.71
0.71,0.83,0.61
0.71,0.83,0.65
0.71,0.68,0.83
0.71,0.68,0.68
0.71,0.68,0.63
0.71,0.68,0.71
0.71,0.68,0.61
0.71,0.68,0.65
0.71,0.63,0.83
0.71,0.63,0.68
0.71,0.63,0.63
0.71,0.63,0.71
0.71,0.63,0.61
0.71,0.63,0.65
0.71,0.71,0.83
0.71,0.71,0.68
0.71,0.71,0.63
0.71,0.71,0.71
0.71,0.71,0.61
0.71,0.71,0.65
0.71,0.61,0.83
0.71,0.61,0.68
0.71,0.61,0.63
0.71,0.61,0.71
0.71,0.61,0.61
0.71,0.61,0.65
0.71,0.65,0.83
0.71,0.65,0.68
0.71,0.65,0.63
0.71,0.65,0.71
0.71,0.65,0.61
0.71,0.65,0.65
0.61,0.83,0.83
0.61,0.83,0.68
0.61,0.83,0.63
0.61,0.83,0.71
0.61,0.83,0.61
0.61,0.83,0.65
0.61,0.68,0.83
0.61,0.68,0.68
0.61,0.68,0.63
0.61,0.68,0.71
0.61,0.68,0.61
0.61,0.68,0.65
0.61,0.63,0.83
0.61,0.63,0.68
0.61,0.63,0.63
0.61,0.63,0.71
0.61,0.63,0.61
0.61,0.63,0.65
0.61,0.71,0.83
0.61,0.71,0.68
0.61,0.71,0.63
0.61,0.71,0.71
0.61,0.71,0.61
0.61,0.71,0.65
0.61,0.61,0.83
0.61,0.61,0.68
0.61,0.61,0.63
0.61,0.61,0.71
0.61,0.61,0.61
0.61,0.61,0.65
0.61,0.65,0.83
0.61,0.65,0.68
0.61,0.65,0.63
0.61,0.65,0.71
0.61,0.65,0.61
0.61,0.65,0.65
0.65,0.83,0.83
0.65,0.83,0.68
0.65,0.83,0.63
0.65,0.83,0.71
0.65,0.83,0.61
0.65,0.83,0.65
0.65,0.68,0.83
0.65,0.68,0.68
0.65,0.68,0.63
0.65,0.68,0.71
0.65,0.68,0.61
0.65,0.68,0.65
0.65,0.63,0.83
0.65,0.63,0.68
0.65,0.63,0.63
0.65,0.63,0.71
0.65,0.63,0.61
0.65,0.63,0.65
0.65,0.71,0.83
0.65,0.71,0.68
0.65,0.71,0.63
0.65,0.71,0.71
0.65,0.71,0.61
0.65,0.71,0.65
0.65,0.61,0.83
0.65,0.61,0.68
0.65,0.61,0.63
0.65,0.61,0.71
0.65,0.61,0.61
0.65,0.61,0.65
0.65,0.65,0.83
0.65,0.65,0.68
0.65,0.65,0.63
0.65,0.65,0.71
0.65,0.65,0.61
0.65,0.65,0.65
